,GRE Score,TOEFL Score,Chance of Admit
282,312.0,106.0,0.81
283,321.0,111.0,0.8
284,340.0,112.0,0.94
285,331.0,116.0,0.93
286,336.0,118.0,0.92
287,324.0,114.0,0.89
288,314.0,104.0,0.82
289,313.0,109.0,0.79
290,307.0,105.0,0.58
291,300.0,102.0,0.56
292,302.0,99.0,0.56
293,312.0,98.0,0.64
294,316.0,101.0,0.61
295,317.0,100.0,0.68
296,310.0,107.0,0.76
297,320.0,120.0,0.86
298,330.0,114.0,0.9
299,305.0,112.0,0.71
300,309.0,106.0,0.62
301,319.0,108.0,0.66
302,322.0,105.0,0.65
303,323.0,107.0,0.73
304,313.0,106.0,0.62
305,321.0,109.0,0.74
306,323.0,110.0,0.79
307,325.0,112.0,0.8
308,312.0,108.0,0.69
309,308.0,107.18775510204081,0.7
310,320.0,104.0,0.76
311,328.0,108.0,0.84
312,311.0,107.0,0.78
313,301.0,100.0,0.67
314,305.0,105.0,0.66
315,308.0,104.0,0.65
316,298.0,101.0,0.54
317,300.0,99.0,0.58
318,324.0,111.0,0.79
319,327.0,113.0,0.8
320,317.0,106.0,0.75
321,323.0,104.0,0.73
322,314.0,107.0,0.72
323,305.0,102.0,0.62
324,315.0,104.0,0.67
325,326.0,116.0,0.81
326,299.0,100.0,0.63
327,295.0,101.0,0.69
328,324.0,112.0,0.8
329,297.0,96.0,0.43
330,327.0,113.0,0.8
331,311.0,105.0,0.73
332,308.0,106.0,0.75
333,319.0,108.0,0.71
334,312.0,107.0,0.73
335,325.0,111.0,0.83
336,319.0,110.0,0.72
337,332.0,118.0,0.94
338,316.55876288659795,108.0,0.81
339,324.0,107.0,0.81
340,312.0,107.0,0.75
341,326.0,110.0,0.79
342,308.0,106.0,0.58
343,305.0,103.0,0.59
344,295.0,96.0,0.47
345,316.0,98.0,0.49
346,304.0,97.0,0.47
347,299.0,94.0,0.42
348,302.0,99.0,0.57
349,313.0,101.0,0.62
350,318.0,107.0,0.74
351,325.0,110.0,0.73
352,303.0,100.0,0.64
353,300.0,102.0,0.63
354,297.0,98.0,0.59
355,317.0,107.18775510204081,0.73
356,327.0,109.0,0.79
357,301.0,104.0,0.68
358,314.0,105.0,0.7
359,321.0,107.0,0.81
360,322.0,110.0,0.85
361,334.0,116.0,0.93
362,338.0,115.0,0.91
363,306.0,103.0,0.69
364,313.0,102.0,0.77
365,330.0,114.0,0.86
366,320.0,104.0,0.74
367,311.0,98.0,0.57
368,298.0,92.0,0.51
369,301.0,98.0,0.67
370,310.0,103.0,0.72
371,324.0,110.0,0.89
372,336.0,119.0,0.95
373,321.0,109.0,0.79
374,315.0,105.0,0.39
375,304.0,101.0,0.38
376,297.0,96.0,0.34
377,290.0,100.0,0.47
378,303.0,98.0,0.56
379,311.0,99.0,0.71
380,322.0,104.0,0.78
381,319.0,105.0,0.73
382,324.0,110.0,0.82
383,300.0,100.0,0.62
384,340.0,113.0,0.96
385,335.0,117.0,0.96
386,302.0,101.0,0.46
387,307.0,105.0,0.53
388,296.0,97.0,0.49
389,320.0,108.0,0.76
390,314.0,102.0,0.64
391,318.0,106.0,0.71
392,326.0,112.0,0.84
393,317.0,104.0,0.77
394,329.0,111.0,0.89
395,324.0,110.0,0.82
396,325.0,107.0,0.84
397,330.0,116.0,0.91
398,312.0,103.0,0.67
399,333.0,117.0,0.95
400,304.0,100.0,0.63
401,315.0,105.0,0.66
402,324.0,109.0,0.78
403,330.0,116.0,0.91
404,311.0,101.0,0.62
405,302.0,99.0,0.52
406,322.0,103.0,0.61
407,298.0,100.0,0.58
408,297.0,101.0,0.57
409,300.0,98.0,0.61
410,301.0,96.0,0.54
411,313.0,94.0,0.56
412,314.0,102.0,0.59
413,317.0,101.0,0.49
414,321.0,110.0,0.72
415,327.0,107.18775510204081,0.76
416,315.0,104.0,0.65
417,316.0,103.0,0.52
418,316.55876288659795,111.0,0.6
419,308.0,102.0,0.58
420,299.0,100.0,0.42
421,321.0,112.0,0.77
422,322.0,112.0,0.73
423,334.0,119.0,0.94
424,325.0,114.0,0.91
425,323.0,111.0,0.92
426,312.0,106.0,0.71
427,310.0,101.0,0.71
428,316.0,103.0,0.69
429,340.0,115.0,0.95
430,311.0,104.0,0.74
431,320.0,112.0,0.73
432,324.0,112.0,0.86
433,316.0,111.0,0.71
434,306.0,103.0,0.64
435,309.0,105.0,0.55
436,310.0,110.0,0.58
437,317.0,106.0,0.61
438,318.0,110.0,0.67
439,312.0,105.0,0.66
440,305.0,104.0,0.53
441,332.0,112.0,0.79
442,331.0,116.0,0.92
443,321.0,114.0,0.87
444,324.0,113.0,0.92
445,328.0,116.0,0.91
446,327.0,118.0,0.93
447,320.0,108.0,0.84
448,312.0,109.0,0.8
449,315.0,101.0,0.79
450,320.0,112.0,0.82
451,324.0,113.0,0.89
452,328.0,116.0,0.93
453,319.0,103.0,0.73
454,316.55876288659795,105.0,0.71
455,305.0,102.0,0.59
456,299.0,100.0,0.51
457,295.0,99.0,0.37
458,312.0,100.0,0.69
459,329.0,113.0,0.89
460,319.0,105.0,0.77
461,301.0,102.0,0.68
462,307.0,105.0,0.62
463,304.0,107.0,0.57
464,298.0,97.0,0.45
465,305.0,96.0,0.54
466,314.0,99.0,0.71
467,318.0,101.0,0.78
468,323.0,110.0,0.81
469,326.0,114.0,0.86
470,320.0,110.0,0.87
471,311.0,103.0,0.64
472,327.0,116.0,0.9
473,316.0,102.0,0.67
474,308.0,105.0,0.67
475,300.0,101.0,0.59
476,304.0,104.0,0.62
477,309.0,105.0,0.65
478,318.0,103.0,0.71
479,325.0,110.0,0.79
480,321.0,102.0,0.8
481,323.0,107.0,0.78
482,328.0,113.0,0.83
483,304.0,103.0,0.71
484,317.0,106.0,0.73
485,311.0,107.18775510204081,0.7
486,319.0,102.0,0.68
487,327.0,115.0,0.79
488,322.0,112.0,0.76
489,316.55876288659795,110.0,0.65
490,307.0,105.0,0.67
491,297.0,99.0,0.54
492,298.0,101.0,0.53
493,300.0,95.0,0.62
494,301.0,99.0,0.68
495,332.0,108.0,0.87
496,337.0,117.0,0.96
497,330.0,120.0,0.93
498,312.0,103.0,0.73
499,327.0,113.0,0.84
